Inc: IA No,Inc: Incident type,Inc: Occurred date,Inc: Occurred time,OffSnp: Link type,OffSnp: Org: Net area,OffSnp: Title/rank,Off: Race,Off: Gender,OffSnp: Age,OffSnp: Years employed,UOF: Officer condition/injury,OffSnp: Body worn camera,UOF: Type of force used,UOF: Reason for using force,UOF: Citizen condition/injury,UOF: Citizen was arrested (y/n),Cit: Charge,Inc: Service rendered,UOF: Officer assessment of cit condition,Inc: CIT: Citizen behaviors,Cit: Race,Cit: Gender,CitSnp: Age
F17-013,Use of force,02/09/2017,08:19,Witness,,Police Ofc,Hispanic,Male,27,,,,,Battery - LEO,Taser Marks,Yes,Disorderly Conduct,Arrest,Aggressive Physical,,B/Haitian,Male,24
F17-013,Use of force,02/09/2017,08:19,Witness,,Police Ofc,Hispanic,Male,27,,,,,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,B/Haitian,Male,24
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Hispanic,Male,28,1,,,Physical Force,Arrest,Facial Injury,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Hispanic,Male,28,1,,,Physical Force,Arrest,laceration to left shoulder,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Hispanic,Male,28,1,,,Hobble,Arrest,Facial Injury,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Hispanic,Male,28,1,,,Hobble,Arrest,laceration to left shoulder,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Police Recruit,Hispanic,Male,23,1,,,,Arrest,Facial Injury,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Police Recruit,Hispanic,Male,23,1,,,,Arrest,laceration to left shoulder,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Black,Male,23,1,,,Elec Control Devic (ECD),Arrest,Facial Injury,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-014,Use of force,02/10/2017,01:40,Officer,,Pol Recruit,Black,Male,23,1,,,Elec Control Devic (ECD),Arrest,laceration to left shoulder,Yes,,Radio Call,Aggressive Physical,,Spanish,Male,35
F17-015,Use of force,02/10/2017,12:29,Officer,,Police Officer,Black,Male,56,18,No injuries noted or visible,,Physical Force,Assault - Aggravated,Head Injury,Yes,,Arrest,Violent,,White,Male,26
F17-016,Use of force,02/12/2017,03:24,Witness,,Police Officer,Black,Male,23,1,,,,Battery,No injuries noted or visible,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Black,Male,32
F17-016,Use of force,02/12/2017,03:24,Witness,,Police Officer,Black,Male,23,1,,,,Battery,No injuries noted or visible,Yes,Resistance with violence,Arrest,Aggressive Physical,,Black,Male,32
F17-016,Use of force,02/12/2017,03:24,Witness,,Police Officer,Black,Male,23,1,,,,Battery,No injuries noted or visible,Yes,Narcotics - Posession,Arrest,Aggressive Physical,,Black,Male,32
F17-016,Use of force,02/12/2017,03:24,Officer,Wynwood-Edgewater,Police Officer,Hispanic,Male,30,2,Hand Injury,,Physical Force,Battery,No injuries noted or visible,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Black,Male,32
F17-016,Use of force,02/12/2017,03:24,Officer,Wynwood-Edgewater,Police Officer,Hispanic,Male,30,2,Hand Injury,,Physical Force,Battery,No injuries noted or visible,Yes,Resistance with violence,Arrest,Aggressive Physical,,Black,Male,32
F17-016,Use of force,02/12/2017,03:24,Officer,Wynwood-Edgewater,Police Officer,Hispanic,Male,30,2,Hand Injury,,Physical Force,Battery,No injuries noted or visible,Yes,Narcotics - Posession,Arrest,Aggressive Physical,,Black,Male,32
F17-017,Use of force,02/12/2017,01:52,Officer,,Police Officer,Black,Male,23,1,,,Elec Control Devic (ECD),Narcotics,No injuries noted or visible,No,,Other,Physical - Active,,Black,Male,26
F17-018,Use of force,02/14/2017,11:15,Officer,Little Havana,Police Officer,Hispanic,Male,34,4,No injuries noted or visible,,Physical Force,Resisting without Violence,Facial Injury,Yes,Resistance without violence,Arrest,Intoxicated,,Hispanic,Male,40
F17-018,Use of force,02/14/2017,11:15,Officer,Little Havana,Police Officer,Hispanic,Male,34,4,No injuries noted or visible,,Physical Force,Resisting without Violence,Facial Injury,Yes,Battery - Aggravated,Arrest,Intoxicated,,Hispanic,Male,40
F17-018,Use of force,02/14/2017,11:15,Officer,Little Havana,Police Officer,Hispanic,Male,34,4,No injuries noted or visible,,Physical Force,Resisting without Violence,Rescue Responded - Declined,Yes,Resistance without violence,Arrest,Intoxicated,,Hispanic,Male,40
F17-018,Use of force,02/14/2017,11:15,Officer,Little Havana,Police Officer,Hispanic,Male,34,4,No injuries noted or visible,,Physical Force,Resisting without Violence,Rescue Responded - Declined,Yes,Battery - Aggravated,Arrest,Intoxicated,,Hispanic,Male,40
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance with violence,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Criminal Mischief,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance without violence,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance with violence,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Criminal Mischief,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance without violence,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Black,Male,30
F17-019,Use of force,02/14/2017,22:49,Officer,Upper Eastside,Police Officer,Hispanic,Male,24,2,Hand Injury,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance with violence,Arrest,Aggressive Physical,,Black,Male,30
