"Blunt_Object","Category_of_Force_Event__Measured_at_Event_Level","Disposition_Custody","DOW","Firearm","Firearm__Implied","Firearm__Replica","Force_Applied__1","Force_Applied__2","Force_Applied__3","Force_Applied__4","Force_Applied__5","Force_Applied__6","Force_Applied__7","Force_Applied__8","Hour_(6Hr)","Initial_Call_Category","Initial_Call_type","Knife___Edged_Weapon___Stabbing_Instrument","Mental_Health_Crisis__Prior_to_Force,_Perceived_Lack_of_Compliance","Month","Needle___Spit___Bodily_Fluids","No_weapon_(unarmed)","Officer","Officer_Precinct","Officer_Tenure","Other_Weapon","Record_ID","Subject","Subject__Race","Subject__Sex","Subject__Transient","Subject_Age","Subject_Instance","Subject_Resistance__1","Subject_Resistance__2","Subject_Resistance__3","Subject_Resistance__4","Subject_Resistance__5","Subject_Resistance__6","Subject_Resistance__7","Subject_Resistance__8","Type_of_Call","Under_the_Influence_of_Alcohol__Prior_to_Force,_Perceived_Condition","Under_the_Influence_of_Drugs__Prior_to_Force,_Perceived_Condition","Weapon_Present_or_reported_but_not_used_or_threatened_use","Year","Record_Count...48","Record_Count...49","AgeBands","serious","(Intercept)","Officer_PrecinctDetectives","Officer_PrecinctEast_Precinct","Officer_PrecinctFamily_Services","Officer_PrecinctK9","Officer_PrecinctNorth_Precinct","Officer_PrecinctSERT","Officer_PrecinctTOD","Officer_PrecinctTraffic","Officer_PrecinctTraining","Officer_PrecinctTransit_PPB_Only","Subject__RaceAsian","Subject__RaceBlack","Subject__RaceHispanic","Subject__RaceNative_American","Subject__RaceUnknown","Subject__SexFemale","Subject__TransientUnknown","Subject__TransientYes","AgeBands25_34","AgeBands35_44","AgeBands45_54","AgeBands55_65","AgeBands66_100"
NA,"II","Release_to_Medical","Sunday",NA,NA,NA,"Control_Against_Resistance",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Assault","ASSAULT___PRIORITY",NA,NA,"August",NA,"No_weapon_unarmed","256071","North_Precinct","4",NA,"385548211","4150864","White","Female","No",22,"389699075","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes","Yes",NA,"2020","1","1","18_24",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,"II","Release_to_Medical","Sunday",NA,NA,NA,"Control_Against_Resistance","Takedown_IV",NA,NA,NA,NA,NA,NA,"1200_1759","Hazard","HAZARD___HAZARDOUS_CONDITION",NA,"Yes","February",NA,NA,"981341","Central_Precinct","1",NA,"1001546307","558820","White","Male","Yes",46,"1002105127","Active","Aggressive",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","45_54",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
NA,"II","Release_to_Medical","Sunday",NA,NA,NA,"Takedown_II_and_III","Takedown_II_and_III",NA,NA,NA,NA,NA,NA,"0000_0559","Assault","ASSAULT___PRIORITY",NA,NA,"August",NA,"No_weapon_unarmed","952041","North_Precinct","4",NA,"385548211","4150864","White","Female","No",22,"389699075","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched","Yes","Yes",NA,"2020","1","1","18_24",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,"II","Arrest_Cited","Monday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III",NA,NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","711211","Central_Precinct","2",NA,"959545897","241637","Black","Female","Yes",43,"959787534","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
NA,"II","Arrest_Cited","Monday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III",NA,NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","673111","Central_Precinct","3",NA,"959545897","241637","Black","Female","Yes",43,"959787534","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
NA,"II","Arrest_Cited","Monday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","673211","Central_Precinct","2",NA,"959545897","241637","Black","Female","Yes",43,"959787534","Active","Active","Active",NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
NA,"II","Arrest_Cited","Monday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","431191","East_Precinct","2",NA,"959545897","241637","Black","Female","Yes",43,"959787534","Active","Active","Active",NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"CEW",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Behavioral_Health","ECIT","Knife___Edged_Weapon___Stabbing_Instrument","Yes","July",NA,NA,"1035151","East_Precinct","3",NA,"672547954","3965681","Hispanic","Female","No",25,"676513635","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"CEW","Chemical_Incapacitant___handheld","Kinetic_Impact_Projectile_KIP","Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,"1200_1759","Assault","ASSAULT___PRIORITY",NA,NA,"February",NA,"No_weapon_unarmed","902731","East_Precinct","2",NA,"352546151","3719902","White","Male","Yes",38,"356266053","Aggressive","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Control_Against_Resistance",NA,NA,NA,NA,NA,NA,NA,"0600_1159","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"April",NA,NA,"1061749","Central_Precinct","23",NA,"971546877","454369","White","Male","Yes",43,"972001246","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Control_Against_Resistance","CEW","Strikes_kicks",NA,NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"April",NA,"No_weapon_unarmed","915631","East_Precinct","9",NA,"994546967","3521866","Black","Male","No",29,"998068833","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Control_Against_Resistance","Control_Against_Resistance","Baton___pry","Hobble",NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"April",NA,"No_weapon_unarmed","321971","East_Precinct","10",NA,"994546967","3521866","Black","Male","No",29,"998068833","Aggressive","Aggressive","Active","Aggressive",NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Control_Against_Resistance","Strikes_kicks",NA,NA,NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"April",NA,"No_weapon_unarmed","716808","East_Precinct","28",NA,"994546967","3521866","Black","Male","No",29,"998068833","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Assault","STABBING___WITH_WEAPON_*H","Knife___Edged_Weapon___Stabbing_Instrument",NA,"December",NA,NA,"551100","East_Precinct","14",NA,"158549499","605991","Black","Male","No",45,"159155490","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,NA,"2020","1","1","45_54",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"PFA",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Assault","STABBING___WITH_WEAPON_*H","Knife___Edged_Weapon___Stabbing_Instrument",NA,"December",NA,NA,"836731","East_Precinct","4",NA,"158549499","605991","Black","Male","No",45,"159155490","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,NA,"2020","1","1","45_54",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"0600_1159","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"April",NA,NA,"944541","Central_Precinct","10",NA,"971546877","454369","White","Male","Yes",43,"972001246","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Behavioral_Health","ECIT","Knife___Edged_Weapon___Stabbing_Instrument","Yes","July",NA,NA,"506291","East_Precinct","2",NA,"672547954","3965681","Hispanic","Female","No",25,"676513635","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Behavioral_Health","ECIT","Knife___Edged_Weapon___Stabbing_Instrument","Yes","July",NA,NA,"867330","East_Precinct","12",NA,"672547954","3965681","Hispanic","Female","No",25,"676513635","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Strikes_kicks","Strikes_kicks","Strikes_kicks","Resisted_HC",NA,NA,NA,NA,"1200_1759","Unwanted_Person","UNWANTED_PERSON",NA,NA,"November",NA,"No_weapon_unarmed","1047348","Central_Precinct","26",NA,"908549106","320213","Black","Male","No",58,"908869319","Aggressive","Aggressive","Active","Active",NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","55_65",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Takedown_II_and_III",NA,NA,NA,NA,NA,NA,NA,"1200_1759","Assault","ASSAULT___PRIORITY",NA,NA,"February",NA,"No_weapon_unarmed","321971","East_Precinct","10",NA,"352546151","3719902","White","Male","Yes",38,"356266053","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Monday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"0600_1159","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"April",NA,NA,"617800","Central_Precinct","16",NA,"971546877","454369","White","Male","Yes",43,"972001246","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Release_to_Medical","Monday",NA,NA,NA,"Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,NA,NA,NA,"1200_1759","Behavioral_Health","ECIT",NA,"Yes","May",NA,NA,"1085151","East_Precinct","3",NA,"543547313","319253","White","Male","No",44,"543866566","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"CEW",NA,NA,NA,NA,NA,NA,NA,"0600_1159","TriMet","TRIMET_INCIDENT___PRIORITY",NA,NA,"May",NA,NA,"971440","Transit_PPB_Only","14",NA,"797547235","419748","White","Male","Yes",36,"797966983","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"CEW","CEW",NA,NA,NA,NA,NA,NA,"1200_1759","Assist","ASSIST___CITIZEN_OR_AGENCY",NA,NA,"September",NA,"No_weapon_unarmed","784021","Central_Precinct","4",NA,"748548575","4140510","Black","Male","Yes",51,"752689085","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","45_54",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"CEW","CEW","CEW","CEW",NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS_SUBJ,_VEH,_OR_CIRCUMSTANCE",NA,NA,"November",NA,NA,"648809","East_Precinct","23",NA,"939548987","351700","White","Male","Yes",40,"939900687","Aggressive","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"CEW","CEW","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","TriMet","TRIMET_INCIDENT___PRIORITY",NA,NA,"May",NA,NA,"996840","Transit_PPB_Only","16",NA,"797547235","419748","White","Male","Yes",36,"797966983","Aggressive","Aggressive","Active",NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"CEW","Control_Against_Resistance","CEW","CEW","Takedown_II_and_III","Resisted_HC",NA,NA,"1200_1759","Theft","THEFT___PRIORITY",NA,NA,"October",NA,"No_weapon_unarmed","1099247","North_Precinct","33",NA,"898548786","1507941","White","Male","No",34,"900056727","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive",NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"Control_Against_Resistance",NA,NA,NA,NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS_SUBJ,_VEH,_OR_CIRCUMSTANCE",NA,NA,"November",NA,NA,"396079","East_Precinct","22",NA,"939548987","351700","White","Male","Yes",40,"939900687","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"Control_Against_Resistance","Strikes_kicks",NA,NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January","Needle___Spit___Bodily_Fluids",NA,"276671","Central_Precinct","9","Biting","58545828","3534292","White","Female","Yes",24,"62080120","Active","Aggressive",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","18_24",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"Control_Against_Resistance","Takedown_IV",NA,NA,NA,NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","276671","Central_Precinct","9",NA,"58545828","3535132","White","Male","Yes",26,"62080960","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"Control_Against_Resistance","Takedown_IV","Control_Against_Resistance","Strikes_kicks","Strikes_kicks",NA,NA,NA,"0600_1159","Area_Premise_Check","CAMPING___GENERAL___POLICE_USE_ONLY",NA,NA,"January",NA,"No_weapon_unarmed","350681","Central_Precinct","8",NA,"58545828","3535132","White","Male","Yes",26,"62080960","Active","Active","Active","Aggressive","Aggressive",NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"K9",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Burglary","BURGLARY___PRIORITY_*H","Knife___Edged_Weapon___Stabbing_Instrument",NA,"August",NA,NA,"213461","K9","4",NA,"699548164","506390","White","Male","Yes",55,"700054554","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","55_65",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"K9","PFA",NA,NA,NA,NA,NA,NA,"1800_2359","Shots_Fired","SHOTS_FIRED",NA,NA,"July",NA,NA,"1022438","TOD","25",NA,"952547827","487246","Black","Male","Yes",31,"953035073","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Felony","Tuesday",NA,NA,NA,"PFA",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Threat","THREAT___WITH_WEAPON_*H",NA,NA,"November",NA,NA,"249970","East_Precinct","15",NA,"213549180","582334","White","Male","Yes",21,"214131514","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","18_24",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
