"ID","Incident_Num","Incident_Type","Occured_date_time","Precinct","Sector","Beat","Officer_ID","Subject_ID","Subject_Race","Subject_Gender","datetime","serious","(Intercept)","Subject_RaceAmerican_Indian_Alaska_Native","Subject_RaceAsian","Subject_RaceBlack_or_African_American","Subject_RaceHispanic_or_Latino","Subject_RaceNat_Hawaiian_Oth_Pac_Islander","Subject_RaceNot_Specified","Subject_RaceTwo_or_More_Races","Subject_Gender_","Subject_GenderFemale","Subject_GenderNon_binary","Subject_GenderOther","Subject_GenderTransgender_Female","Subject_GenderTransgender_Male","Subject_GenderUnknown","Precinct-","Precinct0","PrecinctEast","PrecinctNorth","PrecinctOOJ","PrecinctSouth","PrecinctSouthwest"
"2020UOF-2006-1177-24292",60202,"Level 1 - Use of Force","12/30/2020 12:30:00 AM","South","ROBERT","R3",1661,25172,"Not_Specified","Male",2020-12-30 00:30:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-1922-2109-22837",58776,"Level 1 - Use of Force","09/12/2020 11:20:00 AM","West","DAVID","D1",2142,23719,"White","Female",2020-09-12 11:20:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1333-1207-737",57808,"Level 2 - Use of Force","07/27/2020 10:41:00 PM","East","CHARLIE","C1",1637,735,"White","Male",2020-07-27 22:41:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1993-1045-3019",60192,"Level 2 - Use of Force","12/18/2020 08:00:00 AM","East","EDWARD","E2",1700,2999,"White","Male",2020-12-18 08:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1477-1167-7599",58181,"Level 1 - Use of Force","09/14/2020 08:00:00 PM","East","CHARLIE","C3",1229,7548,"Black_or_African_American","Male",2020-09-14 20:00:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1429-1154-6579",58103,"Level 2 - Use of Force","09/07/2020 06:23:00 PM","South","OCEAN","O1",1814,6532,"Black_or_African_American","Male",2020-09-07 18:23:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0862-2313-22665",56306,"Level 2 - Use of Force","06/06/2020 07:28:00 PM","East","EDWARD","E2",2309,23547,"White","Male",2020-06-06 19:28:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0201-1371-21801",54121,"Level 1 - Use of Force","03/03/2020 01:20:00 PM","North","NORA","N2",1588,22685,"Black_or_African_American","Male",2020-03-03 13:20:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1528-2751-18866",56552,"Level 2 - Use of Force","06/23/2020 03:58:00 PM","East","GEORGE","G3",5304,19752,"Black_or_African_American","Male",2020-06-23 15:58:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1739-2740-23652",58364,"Level 1 - Use of Force","09/22/2020 08:23:00 PM","North","UNION","U2",5268,24532,"White","Male",2020-09-22 20:23:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0593-2034-737",55882,"Level 2 - Use of Force","05/29/2020 10:51:00 PM","East","EDWARD","E2",2103,735,"White","Male",2020-05-29 22:51:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1177-864-7943",57298,"Level 2 - Use of Force","07/25/2020 05:00:00 PM","West","MARY","M3",685,7884,"Not_Specified","Male",2020-07-25 17:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0816-2274-22649",56273,"Level 2 - Use of Force","05/30/2020 04:00:00 PM","West","MARY","M3",2231,23531,"Not_Specified","Unknown",2020-05-30 16:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-1608-1295-23793",58755,"Level 2 - Use of Force","10/03/2020 09:00:00 PM","East","EDWARD","E2",1762,24673,"White","Male",2020-10-03 21:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0004-1274-21210",52186,"Level 1 - Use of Force","01/01/2020 01:19:00 AM","West","KING","K3",1604,22096,"Black_or_African_American","Male",2020-01-01 01:19:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1140-2013-7943",57165,"Level 2 - Use of Force","07/25/2020 04:20:00 PM","East","EDWARD","E2",2097,7884,"Not_Specified","Male",2020-07-25 16:20:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1369-485-23477",58039,"Level 2 - Use of Force","09/07/2020 05:00:00 PM","South","OCEAN","O2",1065,24357,"Black_or_African_American","Male",2020-09-07 17:00:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0328-2105-22032",54726,"Level 1 - Use of Force","03/31/2020 04:15:00 PM","North","NORA","N3",2146,22916,"Black_or_African_American","Male",2020-03-31 16:15:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0960-1524-7943",56497,"Level 2 - Use of Force","06/02/2020 11:36:00 PM","East","EDWARD","E2",1179,7884,"Not_Specified","Male",2020-06-02 23:36:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1690-2717-23997",59367,"Level 2 - Use of Force","09/23/2020 10:00:00 PM","East","EDWARD","E2",5239,24877,"Not_Specified","Unknown",2020-09-23 22:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-0704-1490-7943",56106,"Level 2 - Use of Force","06/06/2020 12:00:00 AM","East","EDWARD","E2",1157,7884,"Not_Specified","Male",2020-06-06,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1805-2078-23471",58019,"Level 1 - Use of Force","09/04/2020 07:00:00 PM","West","KING","K1",2017,24351,"White","Female",2020-09-04 19:00:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1436-2179-22551",58157,"Level 2 - Use of Force","05/31/2020 04:14:00 PM","West","KING","K1",2175,23433,"White","Male",2020-05-31 16:14:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0574-1434-7414",55856,"Level 2 - Use of Force","05/30/2020 03:00:00 PM","West","KING","K1",1134,7364,"Black_or_African_American","Male",2020-05-30 15:00:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0618-965-7943",55954,"Level 2 - Use of Force","06/03/2020 12:30:00 AM","East","EDWARD","E2",932,7884,"Not_Specified","Male",2020-06-03 00:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0789-2189-22655",56292,"Level 2 - Use of Force","06/08/2020 12:10:00 AM","West","MARY","M2",2183,23537,"Not_Specified","Unknown",2020-06-08 00:10:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-2001-2258-24260",60131,"Level 2 - Use of Force","12/24/2020 04:33:00 PM","North","JOHN","J1",2223,25140,"White","Female",2020-12-24 16:33:00,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0424-1323-22219",55133,"Level 1 - Use of Force","04/24/2020 01:30:00 PM","South","ROBERT","R3",1773,23102,"White","Female",2020-04-24 13:30:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0434-2042-22198",55122,"Level 1 - Use of Force","04/21/2020 11:43:00 PM","Southwest","WILLIAM","W3",2107,23081,"Black_or_African_American","Male",2020-04-21 23:43:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020UOF-1261-2395-22819",56608,"Level 1 - Use of Force","06/26/2020 03:10:00 PM","South","ROBERT","R3",2391,23701,"Not_Specified","Male",2020-06-26 15:10:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-1282-2770-22180",55021,"Level 1 - Use of Force","04/19/2020 06:09:00 PM","East","EDWARD","E2",5407,23063,"Black_or_African_American","Male",2020-04-19 18:09:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0476-2655-4641",55311,"Level 1 - Use of Force","05/03/2020 07:00:00 PM","OOJ","","-",5087,4612,"White","Male",2020-05-03 19:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020UOF-0695-1538-22575",56079,"Level 2 - Use of Force","06/06/2020 07:30:00 PM","East","EDWARD","E2",1190,23457,"Not_Specified","Unknown",2020-06-06 19:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-2011-2769-8584",60211,"Level 1 - Use of Force","12/30/2020 12:32:00 PM","West","KING","K3",5406,8508,"White","Female",2020-12-30 12:32:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0527-2595-17386",55532,"Level 1 - Use of Force","05/13/2020 07:23:00 PM","South","SAM","S3",4920,18272,"Black_or_African_American","Male",2020-05-13 19:23:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-1855-1147-24614",60020,"Level 2 - Use of Force","12/18/2020 07:55:00 AM","East","EDWARD","E2",1812,25494,"Not_Specified","Unknown",2020-12-18 07:55:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-1580-1907-7943",58567,"Level 2 - Use of Force","09/26/2020 07:00:00 PM","East","EDWARD","E2",1850,7884,"Not_Specified","Male",2020-09-26 19:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0980-1142-22765",56496,"Level 2 - Use of Force","06/07/2020 11:30:00 PM","East","EDWARD","E2",1660,23647,"White","Male",2020-06-07 23:30:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0863-1154-22656",56296,"Level 2 - Use of Force","06/08/2020 12:10:00 AM","East","EDWARD","E2",1814,23538,"Not_Specified","Male",2020-06-08 00:10:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0958-2188-22536",56480,"Level 1 - Use of Force","05/31/2020 04:41:00 PM","East","EDWARD","E3",2182,23418,"White","Male",2020-05-31 16:41:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1734-2669-23926",59273,"Level 1 - Use of Force","11/04/2020 08:12:00 AM","East","GEORGE","G1",5115,24806,"White","Male",2020-11-04 08:12:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2021UOF-0191-1097-20933",60868,"Level 1 - Use of Force","10/11/2020 04:50:00 PM","West","KING","K1",1672,21819,"Not_Specified","Male",2020-10-11 16:50:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1845-2214-23899",60043,"Level 1 - Use of Force","12/20/2020 02:01:00 PM","East","EDWARD","E2",2200,24779,"White","Male",2020-12-20 14:01:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0853-2108-22667",56311,"Level 2 - Use of Force","06/02/2020 12:00:00 AM","East","EDWARD","E2",2141,23549,"Not_Specified","Unknown",2020-06-02,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-0577-1438-22512",55852,"Level 2 - Use of Force","05/30/2020 04:33:00 PM","West","KING","K1",1135,23394,"Not_Specified","Unknown",2020-05-30 16:33:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2021UOF-0007-2002-17834",60661,"Level 1 - Use of Force","12/20/2020 12:10:00 AM","West","MARY","M1",1889,18720,"White","Male",2020-12-20 00:10:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0651-1199-7414",56023,"Level 2 - Use of Force","05/30/2020 03:45:00 PM","West","MARY","M3",1630,7364,"Black_or_African_American","Male",2020-05-30 15:45:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0278-343-21581",53529,"Level 1 - Use of Force","02/15/2020 04:29:00 PM","North","JOHN","J1",828,22465,"White","Male",2020-02-15 16:29:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0114-2524-21348",52697,"Level 1 - Use of Force","01/19/2020 02:15:00 AM","West","KING","K1",4761,22233,"Black_or_African_American","Male",2020-01-19 02:15:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1390-1237-23019",57014,"Level 1 - Use of Force","07/19/2020 10:57:00 AM","Southwest","FRANK","F1",1644,23900,"White","Male",2020-07-19 10:57:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2020UOF-0163-1948-21668",53702,"Level 1 - Use of Force","02/20/2020 10:50:00 PM","North","BOY","B1",1865,22552,"Hispanic_or_Latino","Male",2020-02-20 22:50:00,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1283-1983-22280",55315,"Level 2 - Use of Force","05/03/2020 08:34:00 PM","West","QUEEN","Q3",1881,23163,"Not_Specified","Male",2020-05-03 20:34:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0638-1203-22565",55962,"Level 2 - Use of Force","05/30/2020 12:20:00 AM","West","KING","K2",1636,23447,"Not_Specified","Male",2020-05-30 00:20:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1604-1295-3157",58702,"Level 2 - Use of Force","10/03/2020 09:00:00 PM","East","EDWARD","E1",1762,3134,"White","Female",2020-10-03 21:00:00,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1041-1514-7943",56688,"Level 2 - Use of Force","07/01/2020 05:12:00 AM","East","EDWARD","E2",1171,7884,"Not_Specified","Male",2020-07-01 05:12:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0725-1203-6763",56155,"Level 2 - Use of Force","05/30/2020 04:00:00 PM","West","MARY","M3",1636,6715,"Not_Specified","Unknown",2020-05-30 16:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-0614-485-22684",55948,"Level 2 - Use of Force","06/01/2020 09:00:00 PM","West","MARY","M2",1065,23566,"White","Male",2020-06-01 21:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0063-1109-21426",52879,"Level 1 - Use of Force","01/25/2020 03:31:00 AM","South","OCEAN","O2",1692,22311,"Not_Specified","Male",2020-01-25 03:31:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0892-2199-19016",55709,"Level 1 - Use of Force","05/21/2020 11:35:00 PM","North","UNION","U2",2188,19902,"Not_Specified","Female",2020-05-21 23:35:00,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0395-44-14417",54969,"Level 1 - Use of Force","04/16/2020 02:00:00 PM","OOJ","","-",1554,15307,"Black_or_African_American","Male",2020-04-16 14:00:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020UOF-1132-44-7943",57046,"Level 2 - Use of Force","06/02/2020 11:50:00 PM","East","EDWARD","E2",1554,7884,"Not_Specified","Male",2020-06-02 23:50:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0289-1182-21987",54639,"Level 1 - Use of Force","03/25/2020 05:09:00 PM","North","UNION","U1",1665,22871,"White","Male",2020-03-25 17:09:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1720-2136-23900",59161,"Level 1 - Use of Force","10/30/2020 05:56:00 AM","South","OCEAN","O2",2160,24780,"Not_Specified","Male",2020-10-30 05:56:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0709-1299-22603",56156,"Level 2 - Use of Force","05/29/2020 09:17:00 PM","West","KING","K1",1766,23485,"White","Female",2020-05-29 21:17:00,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1615-2686-23749",58640,"Level 1 - Use of Force","10/05/2020 08:00:00 PM","West","KING","K3",5158,24629,"Black_or_African_American","Male",2020-10-05 20:00:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1727-2769-23474",58033,"Level 2 - Use of Force","09/06/2020 03:55:00 PM","West","DAVID","D2",5406,24354,"Black_or_African_American","Unknown",2020-09-06 15:55:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-0256-2199-21921",54525,"Level 1 - Use of Force","03/18/2020 08:33:00 PM","North","BOY","B2",2188,22805,"White","Male",2020-03-18 20:33:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1192-2718-4233",57273,"Level 2 - Use of Force","07/25/2020 05:40:00 PM","East","EDWARD","E2",5237,4205,"Not_Specified","Unknown",2020-07-25 17:40:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
